Empresa;Origem do Grão;Região de Origem do Grão;REF;Data de Revisão;Percentual de Cacau;Localização da Empresa;Avaliação;Tipo de Grão
A. Morin;Agua Grande;Sao Tome;1876;2016;63%;France;3.75;
A. Morin;Kpime;Togo;1676;2015;70%;France;2.75;
A. Morin;Atsane;Togo;1676;2015;70%;France;3;
Aequare (Gianduja);Los Rios, Quevedo, Arriba;Ecuador;370;2009;55%;Ecuador;2.75;Forastero (Arriba)
A. Morin;Akata;Togo;1680;2015;70%;France;3.5;
A. Morin;Quilla;Peru;1704;2015;70%;France;3.5;
Adi;Vanua Levu, Toto-A;Fiji;705;2011;80%;Fiji;3.25;Trinitario
A. Morin;Carenero;Venezuela;1315;2014;70%;France;2.75;Criollo
A. Morin;Cuba;Cuba;1315;2014;70%;France;3.5;
Adi;Vanua Levu;Fiji;705;2011;88%;Fiji;3.5;Trinitario
A. Morin;Sur del Lago;Venezuela;1315;2014;70%;France;3.5;Criollo
A. Morin;Puerto Cabello;Venezuela;1319;2014;70%;France;3.75;Criollo
A. Morin;Pablino;Peru;1319;2014;70%;France;4;
A. Morin;Panama;Panama;1011;2013;70%;France;2.75;
A. Morin;Madagascar;Madagascar;1011;2013;70%;France;3;Criollo
A. Morin;Brazil;Brazil;1011;2013;70%;France;3.25;
A. Morin;Equateur;Ecuador;1011;2013;70%;France;3.75;
A. Morin;Colombie;Colombia;1015;2013;70%;France;2.75;
A. Morin;Birmanie;Burma;1015;2013;70%;France;3;
A. Morin;Papua New Guinea;Papua New Guinea;1015;2013;70%;France;3.25;
A. Morin;Chuao;Venezuela;1015;2013;70%;France;4;Trinitario
A. Morin;Piura;Peru;1019;2013;70%;France;3.25;
A. Morin;Chanchamayo Province;Peru;1019;2013;70%;France;3.5;
A. Morin;Chanchamayo Province;Peru;1019;2013;63%;France;4;
A. Morin;Bolivia;Bolivia;797;2012;70%;France;3.5;
A. Morin;Peru;Peru;797;2012;63%;France;3.75;
Acalli;Chulucanas, El Platanal;Peru;1462;2015;70%;U.S.A.;3.75;
Acalli;Tumbes, Norandino;Peru;1470;2015;70%;U.S.A.;3.75;Criollo
Adi;Vanua Levu;Fiji;705;2011;60%;Fiji;2.75;Trinitario
Adi;Vanua Levu, Ami-Ami-CA;Fiji;705;2011;72%;Fiji;3.5;Trinitario
Aequare (Gianduja);Los Rios, Quevedo, Arriba;Ecuador;370;2009;70%;Ecuador;3;Forastero (Arriba)
Ah Cacao;Tabasco;Mexico;316;2009;70%;Mexico;3;Criollo
Akesson's (Pralus);Bali (west), Sukrama Family, Melaya area;Indonesia;636;2011;75%;Switzerland;3.75;Trinitario
Akesson's (Pralus);Madagascar, Ambolikapiky P.;Madagascar;502;2010;75%;Switzerland;2.75;Criollo
Akesson's (Pralus);Monte Alegre, D. Badero;Brazil;508;2010;75%;Switzerland;2.75;Forastero
Alain Ducasse;Trinite;Trinidad;1215;2014;65%;France;2.75;Trinitario
Alain Ducasse;Vietnam;Vietnam;1215;2014;75%;France;2.75;Trinitario
Alain Ducasse;Madagascar;Madagascar;1215;2014;75%;France;3;Trinitario
Alain Ducasse;Chuao;Venezuela;1061;2013;75%;France;2.5;Trinitario
Alain Ducasse;Piura, Perou;Peru;1173;2013;75%;France;2.5;
Alexandre;Winak Coop, Napo;Ecuador;1944;2017;70%;Netherlands;3.5;Forastero (Nacional)
Alexandre;La Dalia, Matagalpa;Nicaragua;1944;2017;70%;Netherlands;3.5;Criollo, Trinitario
Alexandre;Tien Giang;Vietnam;1944;2017;70%;Netherlands;3.5;Trinitario
Alexandre;Makwale Village, Kyela;Tanzania;1944;2017;70%;Netherlands;3.5;Forastero
Altus aka Cao Artisan;Momotombo;Nicaragua;1728;2016;60%;U.S.A.;2.75;
Altus aka Cao Artisan;Acopagro;Peru;1728;2016;60%;U.S.A.;3;
Altus aka Cao Artisan;CIAAB Coop;Bolivia;1732;2016;60%;U.S.A.;2.5;
